#This file generated by merge_baronies.c
7058;51;108;138;c_vargashi;x;
7356;49;129;78;c_kush-murun;x;
7035;7;18;145;c_petropavl;x;
7026;49;204;13;c_karasu;x;
7279;175;111;167;c_kaska;x;
7281;49;117;168;c_teniz;x;
7276;49;102;38;c_ulytau;x;
7285;7;129;170;c_eghiz_kara;x;
5895;5;6;175;c_sabakyul;x;
5891;47;207;173;c_kurgan;x;
7261;49;57;158;c_turgay;x;
7268;133;78;34;c_jilali;x;
7258;133;48;29;c_murun_tomis;x;
7266;49;72;33;c_ulu_jitanjik;x;
7256;49;42;28;c_tumar;x;
7359;175;138;207;c_astana;x;
7061;49;96;158;c_shchuchinsk;x;
7358;133;135;79;c_atbasar;x;
7064;175;105;32;c_teke;x;
7229;175;174;142;c_atyrau;x;
7238;133;201;19;c_baisary;x;
7225;7;162;140;c_manatau;x;
7235;7;192;145;c_basagha;x;
7232;91;183;16;c_sagiz;x;
7219;175;144;137;c_orenburg;x;
7220;7;147;10;c_aqtobe;x;
7248;133;18;24;c_atamansku;x;
7241;49;210;148;c_kos_uba;x;
7245;7;9;150;c_mugodzhar_hills;x;
7252;91;30;26;c_jitikul;x;
7186;49;45;93;c_lepsink;x;
7178;133;21;89;c_kokpekty;x;
7181;49;30;218;c_chuguchak;x;
7183;133;36;219;c_guzkol;x;
7157;91;171;206;c_aksuyek;x;
7174;175;9;87;c_uchkul;x;
7162;91;186;81;c_kaskelen;x;
7170;7;210;85;c_qayaliq;x;
7167;91;201;211;c_almaty;x;
7163;133;189;209;c_kopathal;x;
7193;133;66;224;c_emil;x;
7198;133;81;99;c_jinsko;x;
7192;91;63;96;c_karamay;x;
7207;91;108;131;c_ghulja;x;
7206;49;105;3;c_kash;x;
7201;49;90;128;c_iliq;x;
7488;133;99;44;c_narym_DZU;x;
7485;7;90;170;c_agairik;x;
7491;49;108;173;c_torangy_kul;x;
7482;91;81;41;c_qinggil;x;
7477;91;66;166;c_altay;x;
7505;7;150;180;c_balgun;x;
7511;49;168;183;c_boro_burgasu;x;
7508;133;159;54;c_kara_asirgan;x;
7498;133;129;49;c_ulan_chuzir;x;
7501;49;138;178;c_jie_DZU;x;
7495;7;120;175;c_hoboksar;x;
7472;91;51;36;c_barkul;x;
7457;91;6;156;c_kara_khoja;x;
7464;175;27;32;c_beshbalik;x;
9620;9;105;10;c_chamil;x;
7468;133;39;34;c_yangjibaliq;x;
7351;49;114;203;c_semey;x;
7342;91;87;71;c_kalbin;x;
7345;7;96;200;c_jinghiz;x;
7335;7;66;195;c_degelen;x;
7355;7;126;205;c_arkat;x;
7312;91;210;56;c_betpa;x;
7287;91;135;171;c_kulan_utmas;x;
7316;49;9;58;c_targyl;x;
7295;7;159;175;c_uliuty;x;
7302;91;180;51;c_karabas;x;
7294;175;156;47;c_jasky_kart;x;
7326;49;39;63;c_jiren_suat;x;
7323;133;30;189;c_koi-bagar;x;
7331;49;54;193;c_kulan_uynak;x;
7318;133;15;59;c_karkaraly;x;
7304;175;186;52;c_tokumbay;x;
7317;91;12;186;c_nurtay;x;
3320;3;162;60;c_candhoba;x;
3327;87;183;191;c_sarangpur;x;
3324;171;174;62;c_vidisa;x;
3319;171;159;187;c_chanderi;x;
3329;171;189;192;c_dasapura;x;
3333;129;201;194;c_dadhipadra;x;
3337;87;0;196;c_ujjayini;x;
3332;87;198;66;c_dhara;x;
1263;127;168;159;c_burhanpur;x;
1287;85;27;171;c_asirgarh;x;
1262;85;165;31;c_thalner;x;
1183;127;141;219;c_mandapika;x;
3407;87;210;131;c_rajanpur;x;
4513;130;120;184;c_sibi;x;
3392;87;165;96;c_aror;x;
3393;129;168;224;c_vijnot;x;
3406;45;207;3;c_bhakkar;x;
3397;87;180;226;c_mansura;x;
3405;3;204;130;c_ranikot;x;
3403;129;198;129;c_debul;x;
3971;45;198;213;c_sonda;x;
3394;171;171;97;c_siwistan;x;
9100;9;36;50;c_bajura;x;
9108;135;60;54;c_dang;x;
9106;51;54;53;c_jagatipur;x;
9103;135;45;179;c_jumla;x;
9110;9;66;55;c_lumbini;x;
9113;135;75;184;c_kaski;x;
9136;51;144;68;c_yangwarok;x;
9127;93;117;191;c_ilam;x;
9120;9;96;60;c_khotang;x;
9130;9;126;65;c_kathmandu;x;
9132;93;132;66;c_bhaktapur;x;
9122;93;102;61;c_janakpur;x;
9098;135;30;49;c_doti;x;
9094;177;18;47;c_kali_kumaon;x;
9097;93;27;176;c_kumaon;x;
9090;9;6;45;c_garwhal;x;
3497;87;54;176;c_chitrakut;x;
3494;171;45;47;c_medapata;x;
3499;171;60;177;c_kota;x;
3476;45;204;38;c_vikramapura;x;
3480;3;3;40;c_nagauda;x;
3477;87;207;166;c_reni;x;
3389;171;156;222;c_ludrava;x;
3386;45;147;93;c_satyapura;x;
3349;171;36;202;c_ajayameru;x;
3969;171;192;212;c_sakarai;x;
